Latitude_degree,Longitudedegree,Water_Sample_Depth_m,Microplastics_measurement,Toxicity,Color,nearest_current_speed,nearest_u_current,nearest_v_current,is_land
32.005,133.013333,0.0,0.217291,High,Red,1.2497396506411174,1.040000081062317,0.6930000185966492,False
31.505,133.001667,0.0,0.043277,High,Red,0.9313914628770894,0.7610000371932983,0.5370000004768372,False
29.996667,130.166667,0.0,0.073216,High,Red,0.5972202508254921,0.4640000164508819,-0.3760000169277191,False
29.996667,130.498333,0.0,0.086295,High,Red,0.6349456960962255,0.5160000324249268,-0.3700000047683716,False
29.998333,130.998333,0.0,0.206294,High,Red,0.6153454842331139,0.6070000529289246,0.101000003516674,False
30.003333,131.5,0.0,0.120943,High,Red,0.7180675785948603,0.5860000252723694,0.4150000214576721,False
30.491667,132.001667,0.0,0.03688,High,Red,0.7737299743701628,0.593000054359436,0.4970000088214874,False
30.501667,131.506667,0.0,0.175114,High,Red,0.5926390549429927,0.4700000286102295,0.3610000312328338,False
31.0,131.508333,0.0,0.511874,High,Red,0.1961632071463534,0.1960000097751617,0.0080000003799796,False
30.998333,131.996667,0.0,0.061923,High,Red,0.6420420675933945,0.4830000102519989,0.4230000078678131,False
31.503333,132.008333,0.0,0.035555,High,Red,0.6549656756940598,0.6460000276565552,0.1080000028014183,False
32.0,132.01,0.0,0.112337,High,Red,0.3530580877189434,0.231000006198883,-0.2670000195503235,False
32.328333,132.495,0.0,5.084658,High,Red,0.2675257113981455,0.2630000114440918,-0.0490000024437904,False
32.498333,132.996667,0.0,2.462171,High,Red,0.3754810546476442,0.0190000012516975,0.3750000298023224,False
32.501667,133.491667,0.0,0.704088,High,Red,0.8354639481049251,0.6200000047683716,0.5600000023841858,False
32.748333,133.503333,0.0,0.929564,High,Red,0.5756735725908986,0.5420000553131104,0.1940000057220459,False
32.836667,133.836667,0.0,0.823488,High,Red,0.9313029051096312,0.8850000500679016,0.2900000214576721,False
32.666667,133.678333,0.0,0.166444,High,Red,0.9313029051096312,0.8850000500679016,0.2900000214576721,False
